university_id,year,num_students,student_staff_ratio,pct_international_students,pct_female_students
1,2011,20152,8.9,25,
5,2011,2243,6.9,27,33.0
2,2011,11074,9.0,33,37.0
3,2011,15596,7.8,22,42.0
6,2011,7929,8.4,27,45.0
4,2011,18812,11.8,34,46.0
7,2011,19919,11.6,34,46.0
10,2011,36186,16.4,15,50.0
28,2011,15060,11.7,51,37.0
8,2011,11751,4.4,20,50.0
19,2011,38206,10.3,15,52.0
11,2011,14221,6.9,21,42.0
15,2011,15128,3.6,23,50.0
12,2011,21424,10.2,19,48.0
1025,2011,18178,14.7,37,31.0
1026,2011,41786,9.0,16,48.0
9,2011,25055,5.9,28,
13,2011,20376,6.5,20,51.0
43,2011,11885,13.1,35,39.0
158,2011,19835,17.6,38,53.0
31,2011,26607,10.7,46,56.0
1027,2011,44020,11.8,13,53.0
27,2011,15172,4.8,17,49.0
33,2011,18334,13.8,15,48.0
14,2011,26199,5.7,10,
87,2011,19967,20.1,26,31.0
187,2011,3055,10.1,4,20.0
40,2011,22020,27.3,11,52.0
67,2011,50152,17.6,25,54.0
36,2011,26518,7.3,8,58.0
20,2011,27233,6.5,11,48.0
1028,2011,42727,18.7,20,47.0
104,2011,31592,15.5,34,49.0
41,2011,31326,13.7,23,56.0
118,2011,40128,23.7,35,55.0
111,2011,40148,8.3,14,
1029,2011,12528,5.7,17,
61,2011,2429,4.8,30,18.0
60,2011,25774,14.1,36,58.0
292,2011,11385,23.8,36,
1030,2011,2400,7.9,20,46.0
107,2011,14604,19.2,35,52.0
170,2011,25581,25.6,12,51.0
57,2011,6333,9.0,26,44.0
1032,2011,9666,10.5,54,27.0
47,2011,26614,16.1,16,52.0
59,2011,12161,3.6,10,52.0
1033,2011,46825,18.0,13,52.0
86,2011,10410,10.0,14,54.0
45,2011,35364,13.9,13,54.0
66,2011,8653,10.1,19,
1034,2011,56959,13.0,11,49.0
17,2011,22809,5.6,7,
114,2011,39763,13.7,10,32.0
62,2011,24789,8.6,17,58.0
23,2011,42056,6.8,19,55.0
81,2011,12338,4.5,18,56.0
1035,2011,35691,15.5,13,62.0
112,2011,11829,13.8,10,44.0
1036,2011,26485,5.8,10,51.0
78,2011,9259,6.4,17,48.0
1037,2011,51462,13.4,12,49.0
46,2011,29325,16.1,8,45.0
98,2011,17906,14.0,25,53.0
165,2011,17404,22.7,1,53.0
173,2011,6753,5.5,7,53.0
94,2011,41868,20.2,28,57.0
84,2011,23845,10.2,12,52.0
341,2011,20771,30.1,26,48.0
44,2011,36534,12.9,20,52.0
1038,2011,7867,11.8,7,54.0
1039,2011,15521,18.0,25,57.0
1040,2011,21394,11.4,37,61.0
105,2011,21908,10.9,24,50.0
134,2011,9027,10.0,9,20.0
191,2011,12001,17.4,35,54.0
1041,2011,34718,32.7,27,53.0
1042,2011,28881,24.5,17,55.0
38,2011,25674,16.9,9,45.0
265,2011,15489,15.7,24,54.0
76,2011,34938,15.3,34,52.0
542,2011,8747,15.9,37,57.0
125,2011,28251,11.5,15,
150,2011,20925,13.5,29,53.0
88,2011,26583,6.5,19,57.0
149,2011,7326,4.6,5,51.0
270,2011,22193,24.5,23,
181,2011,20541,12.0,16,56.0
50,2011,36429,12.7,8,52.0
157,2011,12551,17.3,24,54.0
68,2011,31331,8.4,9,48.0
58,2011,6178,6.6,16,47.0
463,2011,2218,8.0,14,49.0
90,2011,35565,31.5,20,33.0
89,2011,23505,15.1,6,66.0
324,2011,8338,12.7,47,56.0
244,2011,6671,15.0,16,30.0
1044,2011,37032,17.3,8,51.0
1045,2011,39256,18.1,22,42.0
419,2011,10221,13.5,5,33.0
268,2011,20040,12.1,18,53.0
1046,2011,44501,12.4,12,46.0
75,2011,26389,13.9,10,
679,2011,10441,11.0,25,61.0
117,2011,9586,7.3,13,13.0
354,2011,8176,16.0,14,19.0
113,2011,31891,11.9,7,39.0
223,2011,20626,22.0,12,51.0
65,2011,15668,15.0,39,61.0
1048,2011,42503,41.9,18,54.0
218,2011,29743,13.3,10,46.0
215,2011,14260,14.0,40,52.0
123,2011,44750,15.7,15,51.0
198,2011,9990,5.0,18,27.0
141,2011,32166,34.1,9,57.0
450,2011,11512,14.9,33,52.0
85,2011,21222,17.1,10,59.0
108,2011,36299,21.6,23,55.0
142,2011,22616,16.0,29,57.0
32,2011,23144,7.8,9,31.0
79,2011,17200,5.0,7,25.0
1049,2011,26467,31.2,16,52.0
132,2011,27526,11.6,11,52.0
306,2011,11623,11.1,12,60.0
195,2011,11964,13.1,22,
179,2011,23311,15.5,31,50.0
148,2011,23280,16.3,6,56.0
1050,2011,27862,8.7,18,48.0
253,2011,11628,15.3,25,60.0
128,2011,47491,12.2,10,62.0
99,2011,30779,15.4,7,59.0
1051,2011,9248,17.0,21,56.0
274,2011,29787,18.9,28,54.0
146,2011,25295,16.4,23,54.0
952,2011,127431,23.3,1,46.0
131,2011,25266,18.2,12,57.0
382,2011,22064,25.9,26,51.0
277,2011,12938,15.8,33,54.0
276,2011,15920,19.4,25,26.0
625,2011,9454,17.2,38,55.0
230,2011,20174,15.2,29,50.0
152,2011,38309,25.9,33,47.0
427,2011,10901,18.3,13,59.0
1052,2011,62468,13.6,13,53.0
183,2011,29991,17.4,11,44.0
121,2011,20580,18.9,18,48.0
248,2011,19262,15.9,10,56.0
80,2011,83236,29.9,9,50.0
333,2011,13216,17.4,19,54.0
792,2011,9336,19.6,4,37.0
126,2011,15408,8.5,14,53.0
130,2011,24570,14.4,11,53.0
212,2011,18815,13.6,30,52.0
127,2011,23895,13.6,14,54.0
154,2011,27703,14.7,21,58.0
1054,2011,26576,38.4,8,57.0
133,2011,24556,25.6,12,52.0
293,2011,51351,16.6,8,51.0
163,2011,31861,9.3,15,60.0
151,2011,25028,16.2,33,48.0
351,2011,14992,14.7,28,58.0
97,2011,30144,15.0,27,54.0
93,2011,27545,4.1,19,67.0
160,2011,29987,52.5,16,
171,2011,50882,40.5,36,56.0
119,2011,32474,70.4,13,55.0
412,2011,12646,16.6,5,27.0
239,2011,37917,27.6,16,31.0
397,2011,25779,22.2,7,44.0
358,2011,17755,18.8,28,54.0
446,2011,6631,12.0,26,37.0
469,2011,10930,59.1,12,54.0
216,2011,25294,24.6,16,26.0
327,2011,18209,16.9,39,54.0
162,2011,28327,38.9,12,58.0
262,2011,20713,10.8,18,48.0
178,2011,36108,15.7,6,54.0
122,2011,24774,11.6,14,
285,2011,15064,14.4,18,55.0
1055,2011,12062,14.6,21,30.0
206,2011,34651,20.5,25,67.0
587,2011,23122,19.0,8,58.0
219,2011,24313,9.2,17,53.0
207,2011,47508,15.9,5,41.0
394,2011,26640,28.3,19,55.0
5,2012,2243,6.9,27,33.0
1,2012,20152,8.9,25,
3,2012,15596,7.8,22,42.0
7,2012,19919,11.6,34,46.0
6,2012,7929,8.4,27,45.0
4,2012,18812,11.8,34,46.0
2,2012,11074,9.0,33,37.0
28,2012,15060,11.7,51,37.0
11,2012,14221,6.9,21,42.0
10,2012,36186,16.4,15,50.0
8,2012,11751,4.4,20,50.0
9,2012,25055,5.9,28,
19,2012,38206,10.3,15,52.0
15,2012,15128,3.6,23,50.0
1025,2012,18178,14.7,37,31.0
13,2012,20376,6.5,20,51.0
31,2012,26607,10.7,46,56.0
1026,2012,41786,9.0,16,48.0
35,2012,66198,19.5,15,
12,2012,21424,10.2,19,48.0
43,2012,11885,13.1,35,39.0
27,2012,15172,4.8,17,49.0
67,2012,50152,17.6,25,54.0
87,2012,19967,20.1,26,31.0
1027,2012,44020,11.8,13,53.0
33,2012,18334,13.8,15,48.0
1056,2012,39655,10.8,11,51.0
41,2012,31326,13.7,23,56.0
30,2012,49427,17.4,9,51.0
14,2012,26199,5.7,10,
1028,2012,42727,18.7,20,47.0
70,2012,7774,11.5,22,70.0
20,2012,27233,6.5,11,48.0
158,2012,19835,17.6,38,53.0
40,2012,22020,27.3,11,52.0
60,2012,25774,14.1,36,58.0
118,2012,40128,23.7,35,55.0
107,2012,14604,19.2,35,52.0
45,2012,35364,13.9,13,54.0
104,2012,31592,15.5,34,49.0
1029,2012,12528,5.7,17,
1033,2012,46825,18.0,13,52.0
36,2012,26518,7.3,8,58.0
23,2012,42056,6.8,19,55.0
1035,2012,35691,15.5,13,62.0
1032,2012,9666,10.5,54,27.0
76,2012,34938,15.3,34,52.0
66,2012,8653,10.1,19,
111,2012,40148,8.3,14,
1046,2012,44501,12.4,12,46.0
17,2012,22809,5.6,7,
187,2012,3055,10.1,4,20.0
62,2012,24789,8.6,17,58.0
44,2012,36534,12.9,20,52.0
1040,2012,21394,11.4,37,61.0
1037,2012,51462,13.4,12,49.0
94,2012,41868,20.2,28,57.0
1036,2012,26485,5.8,10,51.0
1030,2012,2400,7.9,20,46.0
88,2012,26583,6.5,19,57.0
292,2012,11385,23.8,36,
61,2012,2429,4.8,30,18.0
1034,2012,56959,13.0,11,49.0
145,2012,23823,19.3,15,53.0
98,2012,17906,14.0,25,53.0
1048,2012,42503,41.9,18,54.0
99,2012,30779,15.4,7,59.0
170,2012,25581,25.6,12,51.0
59,2012,12161,3.6,10,52.0
114,2012,39763,13.7,10,32.0
57,2012,6333,9.0,26,44.0
1042,2012,28881,24.5,17,55.0
1041,2012,34718,32.7,27,53.0
81,2012,12338,4.5,18,56.0
1051,2012,9248,17.0,21,56.0
86,2012,10410,10.0,14,54.0
46,2012,29325,16.1,8,45.0
85,2012,21222,17.1,10,59.0
125,2012,28251,11.5,15,
1044,2012,37032,17.3,8,51.0
53,2012,9390,4.5,26,49.0
265,2012,15489,15.7,24,54.0
1050,2012,27862,8.7,18,48.0
324,2012,8338,12.7,47,56.0
47,2012,26614,16.1,16,52.0
131,2012,25266,18.2,12,57.0
90,2012,35565,31.5,20,33.0
112,2012,11829,13.8,10,44.0
58,2012,6178,6.6,16,47.0
89,2012,23505,15.1,6,66.0
130,2012,24570,14.4,11,53.0
78,2012,9259,6.4,17,48.0
134,2012,9027,10.0,9,20.0
68,2012,31331,8.4,9,48.0
123,2012,44750,15.7,15,51.0
50,2012,36429,12.7,8,52.0
1045,2012,39256,18.1,22,42.0
191,2012,12001,17.4,35,54.0
108,2012,36299,21.6,23,55.0
179,2012,23311,15.5,31,50.0
142,2012,22616,16.0,29,57.0
268,2012,20040,12.1,18,53.0
276,2012,15920,19.4,25,26.0
139,2012,38264,20.3,25,57.0
141,2012,32166,34.1,9,57.0
542,2012,8747,15.9,37,57.0
117,2012,9586,7.3,13,13.0
160,2012,29987,52.5,16,
165,2012,17404,22.7,1,53.0
157,2012,12551,17.3,24,54.0
202,2012,14708,22.5,14,54.0
38,2012,25674,16.9,9,45.0
105,2012,21908,10.9,24,50.0
354,2012,8176,16.0,14,19.0
195,2012,11964,13.1,22,
171,2012,50882,40.5,36,56.0
1039,2012,15521,18.0,25,57.0
32,2012,23144,7.8,9,31.0
79,2012,17200,5.0,7,25.0
22,2012,17612,10.7,5,55.0
1052,2012,62468,13.6,13,53.0
75,2012,26389,13.9,10,
127,2012,23895,13.6,14,54.0
55,2012,50095,18.7,9,54.0
80,2012,83236,29.9,9,50.0
215,2012,14260,14.0,40,52.0
150,2012,20925,13.5,29,53.0
65,2012,15668,15.0,39,61.0
450,2012,11512,14.9,33,52.0
188,2012,31715,23.7,8,62.0
154,2012,27703,14.7,21,58.0
133,2012,24556,25.6,12,52.0
181,2012,20541,12.0,16,56.0
93,2012,27545,4.1,19,67.0
84,2012,23845,10.2,12,52.0
126,2012,15408,8.5,14,53.0
206,2012,34651,20.5,25,67.0
97,2012,30144,15.0,27,54.0
132,2012,27526,11.6,11,52.0
463,2012,2218,8.0,14,49.0
223,2012,20626,22.0,12,51.0
244,2012,6671,15.0,16,30.0
351,2012,14992,14.7,28,58.0
230,2012,20174,15.2,29,50.0
1038,2012,7867,11.8,7,54.0
146,2012,25295,16.4,23,54.0
625,2012,9454,17.2,38,55.0
237,2012,5495,12.6,22,55.0
203,2012,17916,10.2,22,53.0
161,2012,33062,39.3,20,58.0
277,2012,12938,15.8,33,54.0
113,2012,31891,11.9,7,39.0
173,2012,6753,5.5,7,53.0
358,2012,17755,18.8,28,54.0
121,2012,20580,18.9,18,48.0
325,2012,18529,16.6,37,48.0
135,2012,17713,13.0,10,58.0
270,2012,22193,24.5,23,
148,2012,23280,16.3,6,56.0
149,2012,7326,4.6,5,51.0
1057,2012,50657,21.4,9,47.0
288,2012,12050,14.8,28,55.0
56,2012,23977,24.4,4,
219,2012,24313,9.2,17,53.0
239,2012,37917,27.6,16,31.0
151,2012,25028,16.2,33,48.0
1058,2012,27756,14.8,17,63.0
192,2012,28856,42.0,19,54.0
143,2012,15286,5.7,14,50.0
1059,2012,20488,22.1,10,58.0
274,2012,29787,18.9,28,54.0
152,2012,38309,25.9,33,47.0
253,2012,11628,15.3,25,60.0
378,2012,17581,21.5,11,56.0
198,2012,9990,5.0,18,27.0
137,2012,81402,14.6,4,48.0
248,2012,19262,15.9,10,56.0
163,2012,31861,9.3,15,60.0
212,2012,18815,13.6,30,52.0
91,2012,27139,18.8,18,
183,2012,29991,17.4,11,44.0
213,2012,36733,26.3,15,60.0
427,2012,10901,18.3,13,59.0
1055,2012,12062,14.6,21,30.0
162,2012,28327,38.9,12,58.0
1049,2012,26467,31.2,16,52.0
226,2012,20851,20.7,27,50.0
306,2012,11623,11.1,12,60.0
271,2012,14290,7.9,2,
376,2012,10015,7.1,28,51.0
469,2012,10930,59.1,12,54.0
333,2012,13216,17.4,19,54.0
216,2012,25294,24.6,16,26.0
251,2012,15626,18.9,48,56.0
264,2012,14541,13.4,35,54.0
446,2012,6631,12.0,26,37.0
5,2013,2243,6.9,27,33.0
3,2013,15596,7.8,22,42.0
7,2013,19919,11.6,34,46.0
1,2013,20152,8.9,25,
2,2013,11074,9.0,33,37.0
6,2013,7929,8.4,27,45.0
4,2013,18812,11.8,34,46.0
28,2013,15060,11.7,51,37.0
10,2013,36186,16.4,15,50.0
11,2013,14221,6.9,21,42.0
8,2013,11751,4.4,20,50.0
1025,2013,18178,14.7,37,31.0
19,2013,38206,10.3,15,52.0
9,2013,25055,5.9,28,
13,2013,20376,6.5,20,51.0
15,2013,15128,3.6,23,50.0
31,2013,26607,10.7,46,56.0
12,2013,21424,10.2,19,48.0
33,2013,18334,13.8,15,48.0
1026,2013,41786,9.0,16,48.0
35,2013,66198,19.5,15,
43,2013,11885,13.1,35,39.0
27,2013,15172,4.8,17,49.0
1027,2013,44020,11.8,13,53.0
87,2013,19967,20.1,26,31.0
30,2013,49427,17.4,9,51.0
14,2013,26199,5.7,10,
118,2013,40128,23.7,35,55.0
104,2013,31592,15.5,34,49.0
67,2013,50152,17.6,25,54.0
1056,2013,39655,10.8,11,51.0
60,2013,25774,14.1,36,58.0
1028,2013,42727,18.7,20,47.0
41,2013,31326,13.7,23,56.0
40,2013,22020,27.3,11,52.0
158,2013,19835,17.6,38,53.0
107,2013,14604,19.2,35,52.0
20,2013,27233,6.5,11,48.0
1032,2013,9666,10.5,54,27.0
23,2013,42056,6.8,19,55.0
70,2013,7774,11.5,22,70.0
36,2013,26518,7.3,8,58.0
45,2013,35364,13.9,13,54.0
1029,2013,12528,5.7,17,
111,2013,40148,8.3,14,
1033,2013,46825,18.0,13,52.0
1035,2013,35691,15.5,13,62.0
76,2013,34938,15.3,34,52.0
187,2013,3055,10.1,4,20.0
66,2013,8653,10.1,19,
114,2013,39763,13.7,10,32.0
1037,2013,51462,13.4,12,49.0
62,2013,24789,8.6,17,58.0
17,2013,22809,5.6,7,
44,2013,36534,12.9,20,52.0
1040,2013,21394,11.4,37,61.0
1048,2013,42503,41.9,18,54.0
75,2013,26389,13.9,10,
1030,2013,2400,7.9,20,46.0
1046,2013,44501,12.4,12,46.0
94,2013,41868,20.2,28,57.0
61,2013,2429,4.8,30,18.0
85,2013,21222,17.1,10,59.0
292,2013,11385,23.8,36,
1041,2013,34718,32.7,27,53.0
99,2013,30779,15.4,7,59.0
134,2013,9027,10.0,9,20.0
1045,2013,39256,18.1,22,42.0
170,2013,25581,25.6,12,51.0
1051,2013,9248,17.0,21,56.0
121,2013,20580,18.9,18,48.0
1034,2013,56959,13.0,11,49.0
98,2013,17906,14.0,25,53.0
57,2013,6333,9.0,26,44.0
1036,2013,26485,5.8,10,51.0
276,2013,15920,19.4,25,26.0
1042,2013,28881,24.5,17,55.0
81,2013,12338,4.5,18,56.0
265,2013,15489,15.7,24,54.0
1050,2013,27862,8.7,18,48.0
125,2013,28251,11.5,15,
130,2013,24570,14.4,11,53.0
139,2013,38264,20.3,25,57.0
152,2013,38309,25.9,33,47.0
151,2013,25028,16.2,33,48.0
86,2013,10410,10.0,14,54.0
145,2013,23823,19.3,15,53.0
133,2013,24556,25.6,12,52.0
88,2013,26583,6.5,19,57.0
46,2013,29325,16.1,8,45.0
1087,2013,27603,15.0,17,
141,2013,32166,34.1,9,57.0
123,2013,44750,15.7,15,51.0
112,2013,11829,13.8,10,44.0
47,2013,26614,16.1,16,52.0
68,2013,31331,8.4,9,48.0
50,2013,36429,12.7,8,52.0
160,2013,29987,52.5,16,
171,2013,50882,40.5,36,56.0
1044,2013,37032,17.3,8,51.0
53,2013,9390,4.5,26,49.0
78,2013,9259,6.4,17,48.0
90,2013,35565,31.5,20,33.0
131,2013,25266,18.2,12,57.0
59,2013,12161,3.6,10,52.0
324,2013,8338,12.7,47,56.0
89,2013,23505,15.1,6,66.0
1039,2013,15521,18.0,25,57.0
179,2013,23311,15.5,31,50.0
191,2013,12001,17.4,35,54.0
268,2013,20040,12.1,18,53.0
354,2013,8176,16.0,14,19.0
251,2013,15626,18.9,48,56.0
127,2013,23895,13.6,14,54.0
188,2013,31715,23.7,8,62.0
84,2013,23845,10.2,12,52.0
542,2013,8747,15.9,37,57.0
97,2013,30144,15.0,27,54.0
108,2013,36299,21.6,23,55.0
165,2013,17404,22.7,1,53.0
55,2013,50095,18.7,9,54.0
203,2013,17916,10.2,22,53.0
58,2013,6178,6.6,16,47.0
325,2013,18529,16.6,37,48.0
135,2013,17713,13.0,10,58.0
161,2013,33062,39.3,20,58.0
117,2013,9586,7.3,13,13.0
93,2013,27545,4.1,19,67.0
195,2013,11964,13.1,22,
150,2013,20925,13.5,29,53.0
65,2013,15668,15.0,39,61.0
1052,2013,62468,13.6,13,53.0
113,2013,31891,11.9,7,39.0
38,2013,25674,16.9,9,45.0
22,2013,17612,10.7,5,55.0
79,2013,17200,5.0,7,25.0
142,2013,22616,16.0,29,57.0
1055,2013,12062,14.6,21,30.0
148,2013,23280,16.3,6,56.0
157,2013,12551,17.3,24,54.0
154,2013,27703,14.7,21,58.0
1049,2013,26467,31.2,16,52.0
450,2013,11512,14.9,33,52.0
215,2013,14260,14.0,40,52.0
32,2013,23144,7.8,9,31.0
80,2013,83236,29.9,9,50.0
198,2013,9990,5.0,18,27.0
333,2013,13216,17.4,19,54.0
216,2013,25294,24.6,16,26.0
202,2013,14708,22.5,14,54.0
358,2013,17755,18.8,28,54.0
239,2013,37917,27.6,16,31.0
223,2013,20626,22.0,12,51.0
1057,2013,50657,21.4,9,47.0
173,2013,6753,5.5,7,53.0
56,2013,23977,24.4,4,
146,2013,25295,16.4,23,54.0
137,2013,81402,14.6,4,48.0
274,2013,29787,18.9,28,54.0
105,2013,21908,10.9,24,50.0
